post_id,platform,username,user_id,profile_verified,profile_followers,post_url,image_url,caption,hashtags,mentions,language_hint,location,fashion_category,timestamp,likes,comments,scraped_at,collection_method,hashtag_text,hashtag_count,combined_text,emoji_text,emoji_count,clean_text,text_length,mention_count,detected_language,primary_language,is_multilingual,word_count
IG_000001,Instagram,urbanlook,U100000,False,73658,https://instagram.com/p/1000,https://cdn.example.com/img/1.jpg,,[],[],mixed_en_ur,"Manchester, UK",casual,2026-05-01T00:00:00Z,48545,2233,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,,,0,,0,0,unknown,mixed,True,0
IG_000002,Instagram,style_daily,U100001,False,265451,https://instagram.com/p/1001,https://cdn.example.com/img/2.jpg,,[],[],en,"London, UK",vintage,2026-05-01T00:37:00Z,13036,2932,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,,,0,,0,0,unknown,english,False,0
IG_000003,Instagram,luxuryedit,U100002,False,456263,https://instagram.com/p/1002,https://cdn.example.com/img/3.jpg,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے,[],['zara'],mixed_en_ur,"Manchester, UK",luxury,2026-05-01T01:14:00Z,45758,1731,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے zara,Weekend vibes  smiling_face_with_heart-eyes  یہ رنگ بہت خوبصورت ہے zara,1,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے zara,69,1,english,mixed,True,10
IG_000004,Instagram,urbanlook,U100003,False,199691,https://instagram.com/p/1003,https://cdn.example.com/img/4.jpg,أحب هذا اللوك كثيراً     ,[],['zara'],ar,"Dubai, UAE",modest,2026-05-01T01:51:00Z,39570,1083,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,أحب هذا اللوك كثيراً zara,أحب هذا اللوك كثيراً zara,0,ا حب هذا اللوك كثيرا zara,25,1,arabic,arabic,False,6
IG_000005,Instagram,luxuryedit,U100004,False,484048,https://instagram.com/p/1004,https://cdn.example.com/img/5.jpg,Amazing style 🔥 هذا اللوك رائع,[],[],mixed_en_ar,"Doha, Qatar",vintage,2026-05-01T02:28:00Z,19218,2574,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Amazing style 🔥 هذا اللوك رائع,Amazing style  fire  هذا اللوك رائع,1,amazing style fire هذا اللوك راي ع,34,0,english,mixed,True,7
IG_000006,Instagram,trendwave,U100005,True,347192,https://instagram.com/p/1005,https://cdn.example.com/img/6.jpg,Nuevo look para el verano,[],['zara'],es,"Madrid, Spain",modest,2026-05-01T03:05:00Z,5234,953,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Nuevo look para el verano zara,Nuevo look para el verano zara,0,nuevo look para el verano zara,30,1,spanish,spanish,False,6
IG_000007,Instagram,modest.style,U100006,False,191777,https://instagram.com/p/1006,https://cdn.example.com/img/7.jpg,Amazing style 🔥 هذا اللوك رائع,[],['zara'],mixed_en_ar,"Doha, Qatar",modest,2026-05-01T03:42:00Z,13735,2745,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Amazing style 🔥 هذا اللوك رائع zara,Amazing style  fire  هذا اللوك رائع zara,1,amazing style fire هذا اللوك راي ع zara,39,1,english,mixed,True,8
IG_000008,Instagram,fashionhub,U100007,False,128851,https://instagram.com/p/1007,https://cdn.example.com/img/8.jpg,هذا الفستان رائع ✨ #موضة,['موضة'],['zara'],ar,"Dubai, UAE",sportswear,2026-05-01T04:19:00Z,17696,2621,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,موضة,1,هذا الفستان رائع ✨ #موضة موضة zara,هذا الفستان رائع  sparkles  #موضة موضة zara,1,هذا الفستان راي ع sparkles موضة موضة zara,41,1,arabic,arabic,False,8
IG_000009,Instagram,style_daily,U100008,False,17329,https://instagram.com/p/1008,https://cdn.example.com/img/9.jpg,Love this outfit ❤️ مجھے یہ look بہت پسند آیا,[],[],mixed_en_ur,"Manchester, UK",sportswear,2026-05-01T04:56:00Z,17551,271,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Love this outfit ❤️ مجھے یہ look بہت پسند آیا,Love this outfit  red_heart  مجھے یہ look بہت پسند آیا,1,love this outfit red_heart مجھے یہ look بہت پسند ا یا,53,0,english,mixed,True,11
IG_000010,Instagram,modest.style,U100009,False,479986,https://instagram.com/p/1009,https://cdn.example.com/img/10.jpg,مجھے یہ لباس بہت پسند آیا,[],[],ur,"Lahore, Pakistan",luxury,2026-05-01T05:33:00Z,17364,571,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,مجھے یہ لباس بہت پسند آیا,مجھے یہ لباس بہت پسند آیا,0,مجھے یہ لباس بہت پسند ا یا,26,0,urdu,urdu,False,7
IG_000011,Instagram,modest.style,U100010,False,209900,https://instagram.com/p/1010,https://cdn.example.com/img/11.jpg,مجھے یہ لباس بہت پسند آیا,[],[],ur,"Lahore, Pakistan",luxury,2026-05-01T06:10:00Z,33397,2021,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,مجھے یہ لباس بہت پسند آیا,مجھے یہ لباس بہت پسند آیا,0,مجھے یہ لباس بہت پسند ا یا,26,0,urdu,urdu,False,7
IG_000012,Instagram,fashionhub,U100011,False,415777,https://instagram.com/p/1011,https://cdn.example.com/img/12.jpg,Love this oversized blazer 😍 #fashion #streetstyle,"['streetstyle', 'fashion']",[],en,"London, UK",vintage,2026-05-01T06:47:00Z,4168,1576,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,streetstyle fashion,2,Love this oversized blazer 😍 #fashion #streetstyle streetstyle fashion,Love this oversized blazer  smiling_face_with_heart-eyes  #fashion #streetstyle streetstyle fashion,1,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion,95,0,english,english,False,10
IG_000013,Instagram,luxuryedit,U100012,False,6519,https://instagram.com/p/1012,https://cdn.example.com/img/13.jpg,Nouvelle collection &amp; disponible,[],[],fr,"Paris, France",streetwear,2026-05-01T07:24:00Z,44681,2199,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Nouvelle collection &amp; disponible,Nouvelle collection &amp; disponible,0,nouvelle collection disponible,30,0,french,french,False,3
IG_000014,Instagram,urbanlook,U100013,False,228442,https://instagram.com/p/1013,https://cdn.example.com/img/14.jpg,Love these shoes ❤️ أحب هذا التصميم,[],['zara'],mixed_en_ar,"Doha, Qatar",streetwear,2026-05-01T08:01:00Z,47328,2947,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Love these shoes ❤️ أحب هذا التصميم zara,Love these shoes  red_heart  أحب هذا التصميم zara,1,love these shoes red_heart ا حب هذا التصميم zara,48,1,english,mixed,True,9
IG_000015,Instagram,style_daily,U100014,False,156971,https://instagram.com/p/1014,https://cdn.example.com/img/15.jpg,هذا الفستان رائع ✨ #موضة,['موضة'],[],ar,"Dubai, UAE",vintage,2026-05-01T08:38:00Z,39914,814,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,موضة,1,هذا الفستان رائع ✨ #موضة موضة,هذا الفستان رائع  sparkles  #موضة موضة,1,هذا الفستان راي ع sparkles موضة موضة,36,0,arabic,arabic,False,7
IG_000016,Instagram,luxuryedit,U100015,False,484121,https://instagram.com/p/1015,https://cdn.example.com/img/16.jpg,مجھے یہ لباس بہت پسند آیا,[],[],ur,"Lahore, Pakistan",streetwear,2026-05-01T09:15:00Z,39257,1327,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,مجھے یہ لباس بہت پسند آیا,مجھے یہ لباس بہت پسند آیا,0,مجھے یہ لباس بہت پسند ا یا,26,0,urdu,urdu,False,7
IG_000017,Instagram,urbanlook,U100016,False,436532,https://instagram.com/p/1016,https://cdn.example.com/img/17.jpg,J'adore cette robe élégante ✨ #mode     ,['mode'],[],fr,"Paris, France",luxury,2026-05-01T09:52:00Z,3801,986,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,mode,1,J'adore cette robe élégante ✨ #mode mode,J'adore cette robe élégante  sparkles  #mode mode,1,j adore cette robe e le gante sparkles mode mode,48,0,german,french,False,10
IG_000018,Instagram,modest.style,U100017,False,399274,https://instagram.com/p/1017,https://cdn.example.com/img/18.jpg,Me encanta este vestido 😍 #moda     ,['moda'],[],es,"Madrid, Spain",luxury,2026-05-01T10:29:00Z,8419,2702,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,moda,1,Me encanta este vestido 😍 #moda moda,Me encanta este vestido  smiling_face_with_heart-eyes  #moda moda,1,me encanta este vestido smiling_face_with_heart eyes moda moda,62,0,spanish,spanish,False,8
IG_000019,Instagram,luxuryedit,U100018,False,111543,https://instagram.com/p/1018,https://cdn.example.com/img/19.jpg,J'adore cette robe élégante ✨ #mode,['mode'],[],fr,"Paris, France",casual,2026-05-01T11:06:00Z,45216,823,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,mode,1,J'adore cette robe élégante ✨ #mode mode,J'adore cette robe élégante  sparkles  #mode mode,1,j adore cette robe e le gante sparkles mode mode,48,0,german,french,False,10
IG_000020,Instagram,trendwave,U100019,False,230190,https://instagram.com/p/1019,https://cdn.example.com/img/20.jpg,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے,[],[],mixed_en_ur,"Manchester, UK",sportswear,2026-05-01T11:43:00Z,7935,1015,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے,Weekend vibes  smiling_face_with_heart-eyes  یہ رنگ بہت خوبصورت ہے,1,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے,64,0,english,mixed,True,9
IG_000021,Instagram,luxuryedit,U100020,False,309012,https://instagram.com/p/1020,https://cdn.example.com/img/21.jpg,یہ عبایا بہت خوبصورت ہے 😍 #fashion,['fashion'],['zara'],ur,"Lahore, Pakistan",streetwear,2026-05-01T12:20:00Z,46394,2584,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,fashion,1,یہ عبایا بہت خوبصورت ہے 😍 #fashion fashion zara,یہ عبایا بہت خوبصورت ہے  smiling_face_with_heart-eyes  #fashion fashion zara,1,یہ عبایا بہت خوبصورت ہے smiling_face_with_heart eyes fashion fashion zara,73,1,english,urdu,False,10
IG_000022,Instagram,style_daily,U100021,False,37649,https://instagram.com/p/1021,https://cdn.example.com/img/22.jpg,,[],[],en,"London, UK",modest,2026-05-01T12:57:00Z,43847,1988,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,,,0,,0,0,unknown,english,False,0
IG_000023,Instagram,luxuryedit,U100022,False,127900,https://instagram.com/p/1022,https://cdn.example.com/img/23.jpg,یہ عبایا بہت خوبصورت ہے 😍 #fashion,['fashion'],[],ur,"Lahore, Pakistan",sportswear,2026-05-01T13:34:00Z,12483,386,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,fashion,1,یہ عبایا بہت خوبصورت ہے 😍 #fashion fashion,یہ عبایا بہت خوبصورت ہے  smiling_face_with_heart-eyes  #fashion fashion,1,یہ عبایا بہت خوبصورت ہے smiling_face_with_heart eyes fashion fashion,68,0,english,urdu,False,9
IG_000024,Instagram,modest.style,U100023,False,382745,https://instagram.com/p/1023,https://cdn.example.com/img/24.jpg,Summer linen set is everything! Visit https://bit.ly/look @zara,[],['zara'],en,"London, UK",casual,2026-05-01T14:11:00Z,42353,403,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Summer linen set is everything! Visit https://bit.ly/look @zara zara,Summer linen set is everything! Visit https://bit.ly/look @zara zara,0,summer linen set is everything visit zara,41,1,english,english,False,7
IG_000025,Instagram,style_daily,U100024,False,100224,https://instagram.com/p/1024,https://cdn.example.com/img/25.jpg,Summer linen set is everything! Visit https://bit.ly/look @zara,[],[],en,"London, UK",luxury,2026-05-01T14:48:00Z,27653,751,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Summer linen set is everything! Visit https://bit.ly/look @zara,Summer linen set is everything! Visit https://bit.ly/look @zara,0,summer linen set is everything visit,36,0,english,english,False,6
IG_000026,Instagram,style_daily,U100025,False,452094,https://instagram.com/p/1025,https://cdn.example.com/img/26.jpg,أحب هذا اللوك كثيراً,[],[],ar,"Dubai, UAE",streetwear,2026-05-01T15:25:00Z,3320,2671,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,أحب هذا اللوك كثيراً,أحب هذا اللوك كثيراً,0,ا حب هذا اللوك كثيرا,20,0,arabic,arabic,False,5
IG_000027,Instagram,fashionhub,U100026,False,255115,https://instagram.com/p/1026,https://cdn.example.com/img/27.jpg,Me encanta este vestido 😍 #moda,['moda'],[],es,"Madrid, Spain",sportswear,2026-05-01T16:02:00Z,3847,674,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,moda,1,Me encanta este vestido 😍 #moda moda,Me encanta este vestido  smiling_face_with_heart-eyes  #moda moda,1,me encanta este vestido smiling_face_with_heart eyes moda moda,62,0,spanish,spanish,False,8
IG_000028,Instagram,urbanlook,U100027,False,412133,https://instagram.com/p/1027,https://cdn.example.com/img/28.jpg,J'adore cette robe élégante ✨ #mode,['mode'],[],fr,"Paris, France",sportswear,2026-05-01T16:39:00Z,45656,2992,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,mode,1,J'adore cette robe élégante ✨ #mode mode,J'adore cette robe élégante  sparkles  #mode mode,1,j adore cette robe e le gante sparkles mode mode,48,0,german,french,False,10
IG_000029,Instagram,urbanlook,U100028,False,31162,https://instagram.com/p/1028,https://cdn.example.com/img/29.jpg,Love these shoes ❤️ أحب هذا التصميم     ,[],[],mixed_en_ar,"Doha, Qatar",vintage,2026-05-01T17:16:00Z,3999,1284,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Love these shoes ❤️ أحب هذا التصميم,Love these shoes  red_heart  أحب هذا التصميم,1,love these shoes red_heart ا حب هذا التصميم,43,0,english,mixed,True,8
IG_000030,Instagram,luxuryedit,U100029,False,278963,https://instagram.com/p/1029,https://cdn.example.com/img/30.jpg,Love this oversized blazer 😍 #fashion #streetstyle,"['streetstyle', 'fashion']",['zara'],en,"London, UK",vintage,2026-05-01T17:53:00Z,5255,761,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,streetstyle fashion,2,Love this oversized blazer 😍 #fashion #streetstyle streetstyle fashion zara,Love this oversized blazer  smiling_face_with_heart-eyes  #fashion #streetstyle streetstyle fashion zara,1,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion zara,100,1,english,english,False,11
IG_000031,Instagram,fashionhub,U100030,False,494167,https://instagram.com/p/1030,https://cdn.example.com/img/31.jpg,Love this oversized blazer 😍 #fashion #streetstyle,"['streetstyle', 'fashion']",[],en,"London, UK",luxury,2026-05-01T18:30:00Z,37945,2435,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,streetstyle fashion,2,Love this oversized blazer 😍 #fashion #streetstyle streetstyle fashion,Love this oversized blazer  smiling_face_with_heart-eyes  #fashion #streetstyle streetstyle fashion,1,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion,95,0,english,english,False,10
IG_000032,Instagram,luxuryedit,U100031,False,166368,https://instagram.com/p/1031,https://cdn.example.com/img/32.jpg,Love this oversized blazer 😍 #fashion #streetstyle,"['streetstyle', 'fashion']",[],en,"London, UK",luxury,2026-05-01T19:07:00Z,43896,2933,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,streetstyle fashion,2,Love this oversized blazer 😍 #fashion #streetstyle streetstyle fashion,Love this oversized blazer  smiling_face_with_heart-eyes  #fashion #streetstyle streetstyle fashion,1,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion,95,0,english,english,False,10
IG_000033,Instagram,fashionhub,U100032,False,157784,https://instagram.com/p/1032,https://cdn.example.com/img/33.jpg,هذا الفستان رائع ✨ #موضة,['موضة'],[],ar,"Dubai, UAE",streetwear,2026-05-01T19:44:00Z,615,1877,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,موضة,1,هذا الفستان رائع ✨ #موضة موضة,هذا الفستان رائع  sparkles  #موضة موضة,1,هذا الفستان راي ع sparkles موضة موضة,36,0,arabic,arabic,False,7
IG_000034,Instagram,fashionhub,U100033,False,69945,https://instagram.com/p/1033,https://cdn.example.com/img/34.jpg,,[],[],es,"Madrid, Spain",streetwear,2026-05-01T20:21:00Z,16014,1513,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,,,0,,0,0,unknown,spanish,False,0
IG_000035,Instagram,luxuryedit,U100034,False,321195,https://instagram.com/p/1034,https://cdn.example.com/img/35.jpg,هذا الفستان رائع ✨ #موضة,['موضة'],[],ar,"Dubai, UAE",casual,2026-05-01T20:58:00Z,34669,32,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,موضة,1,هذا الفستان رائع ✨ #موضة موضة,هذا الفستان رائع  sparkles  #موضة موضة,1,هذا الفستان راي ع sparkles موضة موضة,36,0,arabic,arabic,False,7
IG_000036,Instagram,style_daily,U100035,False,70907,https://instagram.com/p/1035,https://cdn.example.com/img/36.jpg,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے,[],['zara'],mixed_en_ur,"Manchester, UK",streetwear,2026-05-01T21:35:00Z,48660,2266,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے zara,Weekend vibes  smiling_face_with_heart-eyes  یہ رنگ بہت خوبصورت ہے zara,1,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے zara,69,1,english,mixed,True,10
IG_000037,Instagram,fashionhub,U100036,False,107243,https://instagram.com/p/1036,https://cdn.example.com/img/37.jpg,مجھے یہ لباس بہت پسند آیا,[],[],ur,"Lahore, Pakistan",modest,2026-05-01T22:12:00Z,33127,2001,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,مجھے یہ لباس بہت پسند آیا,مجھے یہ لباس بہت پسند آیا,0,مجھے یہ لباس بہت پسند ا یا,26,0,urdu,urdu,False,7
IG_000038,Instagram,modest.style,U100037,False,23614,https://instagram.com/p/1037,https://cdn.example.com/img/38.jpg,هذا الفستان رائع ✨ #موضة     ,['موضة'],['zara'],ar,"Dubai, UAE",luxury,2026-05-01T22:49:00Z,41758,1072,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,موضة,1,هذا الفستان رائع ✨ #موضة موضة zara,هذا الفستان رائع  sparkles  #موضة موضة zara,1,هذا الفستان راي ع sparkles موضة موضة zara,41,1,arabic,arabic,False,8
IG_000039,Instagram,modest.style,U100038,False,59154,https://instagram.com/p/1038,https://cdn.example.com/img/39.jpg,مجھے یہ لباس بہت پسند آیا,[],['zara'],ur,"Lahore, Pakistan",casual,2026-05-01T23:26:00Z,9773,2234,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,مجھے یہ لباس بہت پسند آیا zara,مجھے یہ لباس بہت پسند آیا zara,0,مجھے یہ لباس بہت پسند ا یا zara,31,1,urdu,urdu,False,8
IG_000040,Instagram,fashionhub,U100039,False,22430,https://instagram.com/p/1039,https://cdn.example.com/img/40.jpg,Summer linen set is everything! Visit https://bit.ly/look @zara,[],[],en,"London, UK",streetwear,2026-05-02T00:03:00Z,23454,860,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Summer linen set is everything! Visit https://bit.ly/look @zara,Summer linen set is everything! Visit https://bit.ly/look @zara,0,summer linen set is everything visit,36,0,english,english,False,6
IG_000041,Instagram,urbanlook,U100040,False,464041,https://instagram.com/p/1040,https://cdn.example.com/img/41.jpg,Love this outfit ❤️ مجھے یہ look بہت پسند آیا,[],[],mixed_en_ur,"Manchester, UK",vintage,2026-05-02T00:40:00Z,49122,633,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Love this outfit ❤️ مجھے یہ look بہت پسند آیا,Love this outfit  red_heart  مجھے یہ look بہت پسند آیا,1,love this outfit red_heart مجھے یہ look بہت پسند ا یا,53,0,english,mixed,True,11
IG_000042,Instagram,fashionhub,U100041,False,13495,https://instagram.com/p/1041,https://cdn.example.com/img/42.jpg,یہ عبایا بہت خوبصورت ہے 😍 #fashion,['fashion'],['zara'],ur,"Lahore, Pakistan",modest,2026-05-02T01:17:00Z,26987,2743,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,fashion,1,یہ عبایا بہت خوبصورت ہے 😍 #fashion fashion zara,یہ عبایا بہت خوبصورت ہے  smiling_face_with_heart-eyes  #fashion fashion zara,1,یہ عبایا بہت خوبصورت ہے smiling_face_with_heart eyes fashion fashion zara,73,1,english,urdu,False,10
IG_000043,Instagram,trendwave,U100042,False,457766,https://instagram.com/p/1042,https://cdn.example.com/img/43.jpg,Amazing style 🔥 هذا اللوك رائع,[],['zara'],mixed_en_ar,"Doha, Qatar",sportswear,2026-05-02T01:54:00Z,14582,817,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Amazing style 🔥 هذا اللوك رائع zara,Amazing style  fire  هذا اللوك رائع zara,1,amazing style fire هذا اللوك راي ع zara,39,1,english,mixed,True,8
IG_000044,Instagram,fashionhub,U100043,False,346547,https://instagram.com/p/1043,https://cdn.example.com/img/44.jpg,Love these shoes ❤️ أحب هذا التصميم,[],['zara'],mixed_en_ar,"Doha, Qatar",modest,2026-05-02T02:31:00Z,18263,284,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Love these shoes ❤️ أحب هذا التصميم zara,Love these shoes  red_heart  أحب هذا التصميم zara,1,love these shoes red_heart ا حب هذا التصميم zara,48,1,english,mixed,True,9
IG_000045,Instagram,luxuryedit,U100044,False,442821,https://instagram.com/p/1044,https://cdn.example.com/img/45.jpg,Love these shoes ❤️ أحب هذا التصميم,[],[],mixed_en_ar,"Doha, Qatar",streetwear,2026-05-02T03:08:00Z,7564,1069,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Love these shoes ❤️ أحب هذا التصميم,Love these shoes  red_heart  أحب هذا التصميم,1,love these shoes red_heart ا حب هذا التصميم,43,0,english,mixed,True,8
IG_000046,Instagram,luxuryedit,U100045,False,382467,https://instagram.com/p/1045,https://cdn.example.com/img/46.jpg,,[],[],ur,"Lahore, Pakistan",sportswear,2026-05-02T03:45:00Z,39733,2094,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,,,0,,0,0,unknown,urdu,False,0
IG_000047,Instagram,fashionhub,U100046,False,372107,https://instagram.com/p/1046,https://cdn.example.com/img/47.jpg,Summer linen set is everything! Visit https://bit.ly/look @zara,[],[],en,"London, UK",vintage,2026-05-02T04:22:00Z,35292,2813,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Summer linen set is everything! Visit https://bit.ly/look @zara,Summer linen set is everything! Visit https://bit.ly/look @zara,0,summer linen set is everything visit,36,0,english,english,False,6
IG_000048,Instagram,style_daily,U100047,False,483249,https://instagram.com/p/1047,https://cdn.example.com/img/48.jpg,Love this outfit ❤️ مجھے یہ look بہت پسند آیا,[],[],mixed_en_ur,"Manchester, UK",modest,2026-05-02T04:59:00Z,43480,510,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Love this outfit ❤️ مجھے یہ look بہت پسند آیا,Love this outfit  red_heart  مجھے یہ look بہت پسند آیا,1,love this outfit red_heart مجھے یہ look بہت پسند ا یا,53,0,english,mixed,True,11
IG_000049,Instagram,trendwave,U100048,False,211473,https://instagram.com/p/1048,https://cdn.example.com/img/49.jpg,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے,[],[],mixed_en_ur,"Manchester, UK",vintage,2026-05-02T05:36:00Z,8346,785,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Weekend vibes 😍 یہ رنگ بہت خوبصورت ہے,Weekend vibes  smiling_face_with_heart-eyes  یہ رنگ بہت خوبصورت ہے,1,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے,64,0,english,mixed,True,9
IG_000050,Instagram,fashionhub,U100049,False,158284,https://instagram.com/p/1049,https://cdn.example.com/img/50.jpg,Nouvelle collection &amp; disponible,[],[],fr,"Paris, France",streetwear,2026-05-02T06:13:00Z,19919,1175,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,Nouvelle collection &amp; disponible,Nouvelle collection &amp; disponible,0,nouvelle collection disponible,30,0,french,french,False,3
IG_000051,Instagram,luxuryedit,U100050,False,244287,https://instagram.com/p/1050,https://cdn.example.com/img/51.jpg,مجھے یہ لباس بہت پسند آیا,[],[],ur,"Lahore, Pakistan",casual,2026-05-02T06:50:00Z,14010,2093,2026-06-07T12:00:00Z,synthetic Instagram-like dataset,,0,مجھے یہ لباس بہت پسند آیا,مجھے یہ لباس بہت پسند آیا,0,مجھے یہ لباس بہت پسند ا یا,26,0,urdu,urdu,False,7
