post_id,clean_text,fashion_category,primary_language,is_multilingual,location,profile_verified,profile_followers,likes,comments,engagement_score,likes_per_follower,comment_like_ratio,engagement_level,word_count,emoji_count,hashtag_count,mention_count,text_length,year,month,day,hour,weekday,is_weekend
IG_000001,,casual,mixed,True,"Manchester, UK",False,73658,48545,2233,50778,0.6590504894174507,0.045997610513739545,High,0,0,0,0,0,2026,5,1,0,Friday,False
IG_000002,,vintage,english,False,"London, UK",False,265451,13036,2932,15968,0.04910869008332957,0.2248983661885403,Medium,0,0,0,0,0,2026,5,1,0,Friday,False
IG_000003,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے zara,luxury,mixed,True,"Manchester, UK",False,456263,45758,1731,47489,0.10028842950572475,0.03782862387727005,High,10,1,0,1,69,2026,5,1,1,Friday,False
IG_000004,ا حب هذا اللوك كثيرا zara,modest,arabic,False,"Dubai, UAE",False,199691,39570,1083,40653,0.19815515894477495,0.027368527456976068,High,6,0,0,1,25,2026,5,1,1,Friday,False
IG_000005,amazing style fire هذا اللوك راي ع,vintage,mixed,True,"Doha, Qatar",False,484048,19218,2574,21792,0.03970259209294927,0.13392996513866487,Low,7,1,0,0,34,2026,5,1,2,Friday,False
IG_000006,nuevo look para el verano zara,modest,spanish,False,"Madrid, Spain",True,347192,5234,953,6187,0.015075188727883338,0.18204393505253105,Low,6,0,0,1,30,2026,5,1,3,Friday,False
IG_000007,amazing style fire هذا اللوك راي ع zara,modest,mixed,True,"Doha, Qatar",False,191777,13735,2745,16480,0.07161926811208794,0.19983983692486895,Medium,8,1,0,1,39,2026,5,1,3,Friday,False
IG_000008,هذا الفستان راي ع sparkles موضة موضة zara,sportswear,arabic,False,"Dubai, UAE",False,128851,17696,2621,20317,0.13733585819389688,0.148104198451715,High,8,1,1,1,41,2026,5,1,4,Friday,False
IG_000009,love this outfit red_heart مجھے یہ look بہت پسند ا یا,sportswear,mixed,True,"Manchester, UK",False,17329,17551,271,17822,1.0127524523946914,0.015439835916134913,High,11,1,0,0,53,2026,5,1,4,Friday,False
IG_000010,مجھے یہ لباس بہت پسند ا یا,luxury,urdu,False,"Lahore, Pakistan",False,479986,17364,571,17935,0.036175979766118666,0.03288223437949899,Low,7,0,0,0,26,2026,5,1,5,Friday,False
IG_000011,مجھے یہ لباس بہت پسند ا یا,luxury,urdu,False,"Lahore, Pakistan",False,209900,33397,2021,35418,0.1591083415514933,0.06051260554524223,High,7,0,0,0,26,2026,5,1,6,Friday,False
IG_000012,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion,vintage,english,False,"London, UK",False,415777,4168,1576,5744,0.010024580425130719,0.3780283041496762,Low,10,1,2,0,95,2026,5,1,6,Friday,False
IG_000013,nouvelle collection disponible,streetwear,french,False,"Paris, France",False,6519,44681,2199,46880,6.852914110429448,0.04921444877131731,High,3,0,0,0,30,2026,5,1,7,Friday,False
IG_000014,love these shoes red_heart ا حب هذا التصميم zara,streetwear,mixed,True,"Doha, Qatar",False,228442,47328,2947,50275,0.2071764072438201,0.062266263812884276,High,9,1,0,1,48,2026,5,1,8,Friday,False
IG_000015,هذا الفستان راي ع sparkles موضة موضة,vintage,arabic,False,"Dubai, UAE",False,156971,39914,814,40728,0.25427464770787145,0.020393335838657146,High,7,1,1,0,36,2026,5,1,8,Friday,False
IG_000016,مجھے یہ لباس بہت پسند ا یا,streetwear,urdu,False,"Lahore, Pakistan",False,484121,39257,1327,40584,0.08108906432676061,0.03380202761220643,Medium,7,0,0,0,26,2026,5,1,9,Friday,False
IG_000017,j adore cette robe e le gante sparkles mode mode,luxury,french,False,"Paris, France",False,436532,3801,986,4787,0.00870724550034018,0.2593371909521305,Low,10,1,1,0,48,2026,5,1,9,Friday,False
IG_000018,me encanta este vestido smiling_face_with_heart eyes moda moda,luxury,spanish,False,"Madrid, Spain",False,399274,8419,2702,11121,0.021085717863627826,0.3209026128266033,Low,8,1,1,0,62,2026,5,1,10,Friday,False
IG_000019,j adore cette robe e le gante sparkles mode mode,casual,french,False,"Paris, France",False,111543,45216,823,46039,0.40536469913218104,0.018201119048145607,High,10,1,1,0,48,2026,5,1,11,Friday,False
IG_000020,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے,sportswear,mixed,True,"Manchester, UK",False,230190,7935,1015,8950,0.03447137377221525,0.12789818548387097,Low,9,1,0,0,64,2026,5,1,11,Friday,False
IG_000021,یہ عبایا بہت خوبصورت ہے smiling_face_with_heart eyes fashion fashion zara,streetwear,urdu,False,"Lahore, Pakistan",False,309012,46394,2584,48978,0.15013607841741286,0.055695656859575386,High,10,1,1,1,73,2026,5,1,12,Friday,False
IG_000022,,modest,english,False,"London, UK",False,37649,43847,1988,45835,1.1645949535192563,0.04533844189016603,High,0,0,0,0,0,2026,5,1,12,Friday,False
IG_000023,یہ عبایا بہت خوبصورت ہے smiling_face_with_heart eyes fashion fashion,sportswear,urdu,False,"Lahore, Pakistan",False,127900,12483,386,12869,0.09759892416791112,0.030919577058635052,High,9,1,1,0,68,2026,5,1,13,Friday,False
IG_000024,summer linen set is everything visit zara,casual,english,False,"London, UK",False,382745,42353,403,42756,0.11065563062709996,0.009515039901780233,High,7,0,0,1,41,2026,5,1,14,Friday,False
IG_000025,summer linen set is everything visit,luxury,english,False,"London, UK",False,100224,27653,751,28404,0.2759092042903467,0.027157011643885152,High,6,0,0,0,36,2026,5,1,14,Friday,False
IG_000026,ا حب هذا اللوك كثيرا,streetwear,arabic,False,"Dubai, UAE",False,452094,3320,2671,5991,0.007343589289861644,0.8042758205359831,Low,5,0,0,0,20,2026,5,1,15,Friday,False
IG_000027,me encanta este vestido smiling_face_with_heart eyes moda moda,sportswear,spanish,False,"Madrid, Spain",False,255115,3847,674,4521,0.015079414854419167,0.17515592515592515,Low,8,1,1,0,62,2026,5,1,16,Friday,False
IG_000028,j adore cette robe e le gante sparkles mode mode,sportswear,french,False,"Paris, France",False,412133,45656,2992,48648,0.11077950375363353,0.06553211993779705,High,10,1,1,0,48,2026,5,1,16,Friday,False
IG_000029,love these shoes red_heart ا حب هذا التصميم,vintage,mixed,True,"Doha, Qatar",False,31162,3999,1284,5283,0.12832525751692714,0.321,High,8,1,0,0,43,2026,5,1,17,Friday,False
IG_000030,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion zara,vintage,english,False,"London, UK",False,278963,5255,761,6016,0.01883755610042873,0.1447869101978691,Low,11,1,2,1,100,2026,5,1,17,Friday,False
IG_000031,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion,luxury,english,False,"London, UK",False,494167,37945,2435,40380,0.07678562755985818,0.06417013650977706,Medium,10,1,2,0,95,2026,5,1,18,Friday,False
IG_000032,love this oversized blazer smiling_face_with_heart eyes fashion streetstyle streetstyle fashion,luxury,english,False,"London, UK",False,166368,43896,2933,46829,0.26384723115484254,0.0668154999202679,High,10,1,2,0,95,2026,5,1,19,Friday,False
IG_000033,هذا الفستان راي ع sparkles موضة موضة,streetwear,arabic,False,"Dubai, UAE",False,157784,615,1877,2492,0.003897708907690845,3.0470779220779223,Low,7,1,1,0,36,2026,5,1,19,Friday,False
IG_000034,,streetwear,spanish,False,"Madrid, Spain",False,69945,16014,1513,17527,0.2289480456352043,0.09447393068997814,High,0,0,0,0,0,2026,5,1,20,Friday,False
IG_000035,هذا الفستان راي ع sparkles موضة موضة,casual,arabic,False,"Dubai, UAE",False,321195,34669,32,34701,0.10793720967882539,0.0009229881742140179,High,7,1,1,0,36,2026,5,1,20,Friday,False
IG_000036,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے zara,streetwear,mixed,True,"Manchester, UK",False,70907,48660,2266,50926,0.6862413267896429,0.04656706602823617,High,10,1,0,1,69,2026,5,1,21,Friday,False
IG_000037,مجھے یہ لباس بہت پسند ا یا,modest,urdu,False,"Lahore, Pakistan",False,107243,33127,2001,35128,0.30889373764499645,0.060402076793045156,High,7,0,0,0,26,2026,5,1,22,Friday,False
