,post_id,clean_text,fashion_category,primary_language,is_multilingual,location,profile_verified,profile_followers,likes,comments,engagement_score,likes_per_follower,comment_like_ratio,engagement_level,word_count,emoji_count,hashtag_count,mention_count,text_length,year,month,day,hour,weekday,is_weekend
count,500,468,500,500,500,500,500,500.0,500.0,500.0,500.0,500.0,500.0,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500
unique,500,47,6,6,2,7,2,,,,,,,3,,,,,,,,,,7,2
top,IG_000001,weekend vibes smiling_face_with_heart eyes یہ رنگ بہت خوبصورت ہے,sportswear,mixed,False,"Manchester, UK",False,,,,,,,High,,,,,,,,,,Friday,False
freq,1,29,94,151,349,79,465,,,,,,,272,,,,,,,,,,78,344
mean,,,,,,,,247179.028,25205.702,1495.316,26701.018,0.2745735621634635,0.198150761115634,,7.27,0.604,0.384,0.294,44.04,2026.0,5.0,6.916,11.384,,
std,,,,,,,,145022.56970279358,14695.84755432213,885.1445474518654,14762.529219194492,0.7548744329715678,0.737968469748338,,3.0211512225340256,0.48955421216991546,0.6076862390496107,0.45604819911917166,23.341208710092463,0.0,0.0,3.7030215685943486,6.8823890152413085,,
min,,,,,,,,1069.0,180.0,2.0,1325.0,0.0009887591654097,6.383454087006479e-05,,0.0,0.0,0.0,0.0,0.0,2026.0,5.0,1.0,0.0,,
25%,,,,,,,,123083.25,12449.5,723.5,13763.75,0.0499203524540707,0.0270798794097782,,6.0,0.0,0.0,0.0,30.0,2026.0,5.0,4.0,5.0,,
50%,,,,,,,,235080.5,25370.5,1465.0,27008.5,0.1031183963074975,0.05715853531893185,,8.0,1.0,0.0,0.0,41.0,2026.0,5.0,7.0,11.0,,
75%,,,,,,,,375441.25,37565.0,2307.25,39137.0,0.20745394980058196,0.12370920269372293,,9.0,1.0,1.0,1.0,62.0,2026.0,5.0,10.0,17.0,,
max,,,,,,,,499720.0,49955.0,2993.0,52781.0,10.283817951959543,9.243093922651934,,14.0,1.0,2.0,1.0,109.0,2026.0,5.0,13.0,23.0,,
